selector,kind,prod_count,bucket,pages
".timer",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
".title",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
".user-menu",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
".user-menu-btn",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
".user-menu-btn-label",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
".user-menu-item",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
".user-menu-sep",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
".user-menu-wrap",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
".warn",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
"#appHeader",id,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
"#homeBtn",id,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
"#hw",id,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
"#status",id,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
"data-color",data,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
"data-header-extra",data,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
"data-topic-id",data,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
